"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"6.IGFBP5"	1.42663073025009e-40	1.02042076466685	0.444	0.15	2.42883881825077e-36	"6"	"IGFBP5"
"6.LGALS11"	1.69196658535256e-38	1.38068949589034	0.543	0.246	2.88057311156273e-34	"6"	"LGALS1"
"6.CALD1"	3.10146509561042e-37	0.784470103725672	0.666	0.361	5.28024432527674e-33	"6"	"CALD1"
"7.BST2"	1.60415149385951e-226	1.8281775291234	0.623	0.033	2.73106791829582e-222	"7"	"BST2"
"7.WT1"	1.63780499108583e-203	0.817146206351017	0.347	0.003	2.78836299732363e-199	"7"	"WT1"
"7.HOXA10"	7.84138575570952e-154	1.09237713742393	0.583	0.048	1.33499592490955e-149	"7"	"HOXA10"
"7.SIX2"	8.32166592107999e-131	0.601611676566716	0.231	0.002	1.41676362306387e-126	"7"	"SIX2"
"7.TMEM100"	4.7273954724733e-121	0.820295541978017	0.271	0.008	8.04839079188579e-117	"7"	"TMEM100"
"7.PAX21"	3.52761672217873e-114	0.940084887955022	0.533	0.056	6.00576746950929e-110	"7"	"PAX2"
"7.FOXC1"	6.29520519447384e-103	0.523771428256351	0.261	0.01	1.07175868435917e-98	"7"	"FOXC1"
"7.S100A11"	1.85246005675811e-102	1.19390512399997	0.588	0.086	3.15381324663068e-98	"7"	"S100A11"
"8.MIR302B"	0	3.21692653226261	0.925	0.003	0	"8"	"MIR302B"
"8.POU5F1"	0	2.08302164788728	0.83	0.005	0	"8"	"POU5F1"
"8.FOXH1"	0	0.938572863436522	0.623	0.001	0	"8"	"FOXH1"
"8.LIN28A"	9.5638426270783e-308	1.71271465889816	0.887	0.015	1.62824420726008e-303	"8"	"LIN28A"
"8.TDGF1"	6.08147555934573e-299	0.894773214437345	0.472	0.001	1.03537121397861e-294	"8"	"TDGF1"
"8.VRTN"	3.24530346346058e-297	0.60851014447081	0.434	0	5.52512914654163e-293	"8"	"VRTN"
"8.CLDN6"	3.51973567125784e-257	1.66016571331189	0.868	0.019	5.99234998031647e-253	"8"	"CLDN6"
"8.CYP26A1"	1.65708755217761e-226	1.60124827883897	0.66	0.011	2.82119155758238e-222	"8"	"CYP26A1"
"9.C9orf24"	9.77327755077566e-65	1.74495302752144	0.71	0.045	1.66390050301956e-60	"9"	"C9orf24"
"9.PCP4"	1.68968113701714e-57	2.0720515654586	0.935	0.097	2.87668213577168e-53	"9"	"PCP4"
"9.CXCL141"	3.45637042236813e-49	2.1939437472068	0.742	0.069	5.88447064408175e-45	"9"	"CXCL14"
"9.TPD52L1"	7.86948401943018e-40	1.14899497787745	0.516	0.039	1.33977965430799e-35	"9"	"TPD52L1"
"9.CA2"	2.15132069761158e-32	1.33611030979445	0.613	0.069	3.66262348768371e-28	"9"	"CA2"
"9.MYL9"	3.55144421464855e-32	1.28572043571768	0.645	0.079	6.04633377543916e-28	"9"	"MYL9"
"9.C1orf192"	5.36673406952595e-31	0.999753146240932	0.355	0.023	9.13686475336794e-27	"9"	"C1orf192"
"9.IGFBP71"	1.09391155542754e-25	1.52934551868187	0.677	0.109	1.86238442311539e-21	"9"	"IGFBP7"
